date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value,benchmark_value
2025-11-05,122364.94950696701,121068.30868420984,112298.92147740038,122148.54055383499,119794.8815040893,123063.0533394012,116773.49063424832,129812.88956386685,120522.15111310886
2025-11-06,119553.12220800895,119796.00310456732,111773.79102267731,119778.43458132808,116714.3232200957,121333.5081032497,115341.19486936962,127360.7709119414,119229.02288412649
2025-11-07,119121.25325704466,120134.8684391294,111870.85167085502,119653.3888825202,116783.0488319281,121481.01280940852,115501.8260589711,126572.32655604456,119346.41171915365
2025-11-10,122156.19377298579,122098.43604653636,113465.33845402622,121800.42185190551,119199.76215079072,123842.83373879574,116780.88743175543,128879.46478531392,121208.7358808922
2025-11-11,121195.82688846641,121933.50646363836,114131.4951960067,121229.92334019851,118256.18091890006,123512.31146528406,117735.29002990173,128942.4274873179,121486.20732908782
2025-11-12,122537.59795647947,122631.75602347833,114904.37136747819,122987.6200667313,119755.91610341816,124573.06742166438,118828.01970149606,130907.0040822324,121553.80308902182
2025-11-13,119826.84262013297,121190.78586677984,113600.5933071849,120424.81098305204,116475.16725549039,122621.55058483919,117976.84341595434,128876.039161987,119536.73167532095
2025-11-14,119763.94237338864,121670.43327763585,113107.29768769312,120584.95290122619,116526.64076056986,123000.45711204046,117994.46666204385,128730.33870762205,119517.17594322664
2025-11-17,118842.65613900992,120532.7982746752,112762.41215859928,118687.67438798124,114424.24119515873,121701.46585781465,116681.65793728358,127795.69321628832,118403.6969479993
2025-11-18,116844.7374814386,120015.71717944922,112227.56892581836,117470.97181788932,112646.191769217,120282.09236329095,115689.43625972702,126634.3688182668,117409.40338902155
2025-11-19,118398.18951192962,121790.29449749191,113345.17057762208,119246.15311634535,113606.21174428414,121485.34947893048,116146.76251299767,128163.4382544483,117862.97442249626
